,Date,NumRides
960,8/23/2016,1241
961,8/24/2014,345
962,8/24/2015,1309
963,8/24/2016,1242
964,8/25/2014,1371
965,8/25/2015,1421
966,8/25/2016,1184
967,8/26/2014,1513
968,8/26/2015,1465
969,8/26/2016,1096
970,8/27/2014,1479
971,8/27/2015,1443
972,8/27/2016,291
973,8/28/2014,1340
974,8/28/2015,1220
975,8/28/2016,285
976,8/29/2013,748
977,8/29/2014,1252
978,8/29/2015,342
979,8/29/2016,1196
980,8/3/2014,365
981,8/3/2015,1283
982,8/3/2016,1231
983,8/30/2013,714
984,8/30/2014,481
985,8/30/2015,331
986,8/30/2016,1213
987,8/31/2013,640
988,8/31/2014,473
989,8/31/2015,1369
990,8/31/2016,1176
991,8/4/2014,1169
992,8/4/2015,1360
993,8/4/2016,1140
994,8/5/2014,1313
995,8/5/2015,1341
996,8/5/2016,967
997,8/6/2014,1254
998,8/6/2015,1299
999,8/6/2016,300
1000,8/7/2014,1256
1001,8/7/2015,1197
1002,8/7/2016,275
1003,8/8/2014,1170
1004,8/8/2015,432
1005,8/8/2016,1268
1006,8/9/2014,376
1007,8/9/2015,361
1008,8/9/2016,1233
1009,9/1/2013,706
1010,9/1/2014,368
1011,9/1/2015,1389
1012,9/10/2013,892
1013,9/10/2014,1351
1014,9/10/2015,1357
1015,9/11/2013,880
1016,9/11/2014,1381
1017,9/11/2015,1165
1018,9/12/2013,942
1019,9/12/2014,1308
1020,9/12/2015,360
1021,9/13/2013,981
1022,9/13/2014,556
1023,9/13/2015,301
1024,9/14/2013,702
1025,9/14/2014,435
1026,9/14/2015,1177
1027,9/15/2013,624
1028,9/15/2014,1516
1029,9/15/2015,1423
1030,9/16/2013,914
1031,9/16/2014,1438
1032,9/16/2015,1239
1033,9/17/2013,1073
1034,9/17/2014,1429
1035,9/17/2015,1312
1036,9/18/2013,1110
1037,9/18/2014,1186
1038,9/18/2015,1272
1039,9/19/2013,1044
1040,9/19/2014,1245
1041,9/19/2015,402
1042,9/2/2013,661
1043,9/2/2014,1319
1044,9/2/2015,1313
1045,9/20/2013,1102
1046,9/20/2014,427
1047,9/20/2015,325
1048,9/21/2013,388
1049,9/21/2014,313
1050,9/21/2015,1343
1051,9/22/2013,584
1052,9/22/2014,1353
1053,9/22/2015,1355
1054,9/23/2013,1050
1055,9/23/2014,1362
1056,9/23/2015,1230
1057,9/24/2013,1075
1058,9/24/2014,1301
1059,9/24/2015,1342
1060,9/25/2013,1264
1061,9/25/2014,1177
1062,9/25/2015,1280
1063,9/26/2013,1082
1064,9/26/2014,1242
1065,9/26/2015,364
1066,9/27/2013,1101
1067,9/27/2014,464
1068,9/27/2015,349
1069,9/28/2013,612
1070,9/28/2014,376
1071,9/28/2015,1304
1072,9/29/2013,517
1073,9/29/2014,1335
1074,9/29/2015,1408
1075,9/3/2013,597
1076,9/3/2014,1404
1077,9/3/2015,1294
1078,9/30/2013,976
1079,9/30/2014,1304
1080,9/30/2015,1203
1081,9/4/2013,606
1082,9/4/2014,1389
1083,9/4/2015,1129
1084,9/5/2013,677
1085,9/5/2014,1265
1086,9/5/2015,386
1087,9/6/2013,814
1088,9/6/2014,435
1089,9/6/2015,318
1090,9/7/2013,796
1091,9/7/2014,336
1092,9/7/2015,318
1093,9/8/2013,704
1094,9/8/2014,1305
1095,9/8/2015,1333
1096,9/9/2013,769
1097,9/9/2014,1362
1098,9/9/2015,1405
