,Date,NumRides,TotalMinutes
866,7/23/2015,1320,15220
867,7/23/2016,270,7340
868,7/24/2014,1299,16702
869,7/24/2015,1254,16431
870,7/24/2016,242,7789
871,7/25/2014,1204,22171
872,7/25/2015,364,12582
873,7/25/2016,1200,14491
874,7/26/2014,495,20738
875,7/26/2015,432,13398
876,7/26/2016,1213,15076
877,7/27/2014,446,18731
878,7/27/2015,1363,18410
879,7/27/2016,1219,16786
880,7/28/2014,1293,18982
881,7/28/2015,1451,19590
882,7/28/2016,1166,13578
883,7/29/2014,1368,19525
884,7/29/2015,1411,16752
885,7/29/2016,1102,15600
886,7/3/2014,1026,20839
887,7/3/2015,439,24758
888,7/3/2016,222,5898
889,7/30/2014,1351,22745
890,7/30/2015,1330,14952
891,7/30/2016,356,15979
892,7/31/2014,1260,22269
893,7/31/2015,1240,20685
894,7/31/2016,311,11947
895,7/4/2014,391,22418
896,7/4/2015,449,30929
897,7/4/2016,316,12842
898,7/5/2014,382,15692
899,7/5/2015,288,9446
900,7/5/2016,952,11305
901,7/6/2014,365,10445
902,7/6/2015,1242,17584
903,7/6/2016,1091,12082
904,7/7/2014,1210,14379
905,7/7/2015,1359,16522
906,7/7/2016,1122,10581
907,7/8/2014,1201,15998
908,7/8/2015,1405,19060
909,7/8/2016,995,13618
910,7/9/2014,1347,21651
911,7/9/2015,1257,12350
912,7/9/2016,342,20002
913,8/1/2014,1162,17403
914,8/1/2015,425,17788
915,8/1/2016,1165,14736
916,8/10/2014,436,17221
917,8/10/2015,1284,19318
918,8/10/2016,1162,13243
919,8/11/2014,1234,16163
920,8/11/2015,1397,18031
921,8/11/2016,1166,13585
922,8/12/2014,1380,20361
923,8/12/2015,1400,19360
924,8/12/2016,1032,15057
925,8/13/2014,1247,13943
926,8/13/2015,1401,17846
927,8/13/2016,670,18817
928,8/14/2014,1251,17965
929,8/14/2015,1182,15338
930,8/14/2016,736,21157
931,8/15/2014,1179,18332
932,8/15/2015,451,16309
933,8/15/2016,1204,12542
934,8/16/2014,425,20358
935,8/16/2015,393,9790
936,8/16/2016,1270,16555
937,8/17/2014,402,16778
938,8/17/2015,1418,15954
939,8/17/2016,1253,13757
940,8/18/2014,1277,18625
941,8/18/2015,1407,14962
942,8/18/2016,1264,16025
943,8/19/2014,1279,21320
944,8/19/2015,1353,21085
945,8/19/2016,1074,13856
946,8/2/2014,387,10203
947,8/2/2015,320,18265
948,8/2/2016,1241,17398
949,8/20/2014,1327,18959
950,8/20/2015,1353,18566
951,8/20/2016,313,8347
952,8/21/2014,1352,28008
953,8/21/2015,1215,15895
954,8/21/2016,291,9104
955,8/22/2014,1235,19402
