,Unnamed: 0,Date,NumRides,TotalMinutes,MinCategorize
450,450,2/8/2016,1160,14169,10000 to 14999
451,451,2/9/2014,81,1538,500 to 1999
452,452,2/9/2015,1246,13995,10000 to 14999
453,453,2/9/2016,1144,12880,10000 to 14999
454,454,3/1/2014,318,12049,10000 to 14999
455,455,3/1/2015,338,11596,10000 to 14999
456,456,3/1/2016,1256,12804,10000 to 14999
457,457,3/10/2014,980,15332,15000 to 24999
458,458,3/10/2015,1184,14512,10000 to 14999
459,459,3/10/2016,691,6660,4000 to 7499
460,460,3/11/2014,1112,16613,15000 to 24999
461,461,3/11/2015,1214,16116,15000 to 24999
462,462,3/11/2016,520,6463,4000 to 7499
463,463,3/12/2014,1044,15789,15000 to 24999
464,464,3/12/2015,1328,17201,15000 to 24999
465,465,3/12/2016,176,4908,4000 to 7499
466,466,3/13/2014,1133,14213,10000 to 14999
467,467,3/13/2015,1208,16994,15000 to 24999
468,468,3/13/2016,50,542,500 to 1999
469,469,3/14/2014,1022,12913,10000 to 14999
470,470,3/14/2015,479,29915,25000 to 49999
471,471,3/14/2016,1119,13335,10000 to 14999
472,472,3/15/2014,504,28129,25000 to 49999
473,473,3/15/2015,377,11936,10000 to 14999
474,474,3/15/2016,1206,14876,10000 to 14999
475,475,3/16/2014,445,18247,15000 to 24999
476,476,3/16/2015,1295,13840,10000 to 14999
477,477,3/16/2016,1189,15285,15000 to 24999
478,478,3/17/2014,1002,16553,15000 to 24999
479,479,3/17/2015,1365,16591,15000 to 24999
480,480,3/17/2016,1114,18554,15000 to 24999
481,481,3/18/2014,1139,13448,10000 to 14999
482,482,3/18/2015,1319,16860,15000 to 24999
483,483,3/18/2016,1011,15121,15000 to 24999
484,484,3/19/2014,1161,14982,10000 to 14999
485,485,3/19/2015,1363,16180,15000 to 24999
486,486,3/19/2016,308,8906,7500 to 9999
487,487,3/2/2014,208,8552,7500 to 9999
488,488,3/2/2015,1209,11824,10000 to 14999
489,489,3/2/2016,1177,13369,10000 to 14999
490,490,3/20/2014,1127,13196,10000 to 14999
491,491,3/20/2015,1206,19523,15000 to 24999
492,492,3/20/2016,185,4896,4000 to 7499
493,493,3/21/2014,1010,25252,25000 to 49999
494,494,3/21/2015,375,10710,10000 to 14999
495,495,3/21/2016,912,10889,10000 to 14999
496,496,3/22/2014,422,22048,15000 to 24999
497,497,3/22/2015,280,7904,7500 to 9999
498,498,3/22/2016,1144,14151,10000 to 14999
499,499,3/23/2014,373,20677,15000 to 24999
500,500,3/23/2015,1247,16635,15000 to 24999
501,501,3/23/2016,1215,14414,10000 to 14999
502,502,3/24/2014,1012,15732,15000 to 24999
503,503,3/24/2015,1340,17228,15000 to 24999
504,504,3/24/2016,1210,18186,15000 to 24999
505,505,3/25/2014,927,10520,10000 to 14999
506,506,3/25/2015,1409,19891,15000 to 24999
507,507,3/25/2016,952,17772,15000 to 24999
508,508,3/26/2014,716,7607,7500 to 9999
509,509,3/26/2015,1348,18018,15000 to 24999
510,510,3/26/2016,365,8640,7500 to 9999
511,511,3/27/2014,1071,17012,15000 to 24999
512,512,3/27/2015,1264,16863,15000 to 24999
513,513,3/27/2016,222,8843,7500 to 9999
514,514,3/28/2014,974,14835,10000 to 14999
515,515,3/28/2015,512,24989,15000 to 24999
516,516,3/28/2016,1094,12767,10000 to 14999
517,517,3/29/2014,117,6913,4000 to 7499
518,518,3/29/2015,362,10103,10000 to 14999
519,519,3/29/2016,1161,14573,10000 to 14999
520,520,3/3/2014,746,8161,7500 to 9999
521,521,3/3/2015,1299,17074,15000 to 24999
522,522,3/3/2016,989,10396,10000 to 14999
523,523,3/30/2014,391,15243,15000 to 24999
524,524,3/30/2015,1403,18016,15000 to 24999
525,525,3/30/2016,1134,11876,10000 to 14999
526,526,3/31/2014,697,8427,7500 to 9999
527,527,3/31/2015,1354,17713,15000 to 24999
528,528,3/31/2016,1099,12088,10000 to 14999
529,529,3/4/2014,944,12648,10000 to 14999
530,530,3/4/2015,1243,13312,10000 to 14999
531,531,3/4/2016,764,7854,7500 to 9999
532,532,3/5/2014,979,15055,15000 to 24999
533,533,3/5/2015,1225,13890,10000 to 14999
534,534,3/5/2016,68,673,500 to 1999
535,535,3/6/2014,1015,17025,15000 to 24999
536,536,3/6/2015,1245,19186,15000 to 24999
537,537,3/6/2016,163,3845,2000 to 3999
538,538,3/7/2014,988,13996,10000 to 14999
539,539,3/7/2015,396,16683,15000 to 24999
540,540,3/7/2016,987,11448,10000 to 14999
541,541,3/8/2014,468,19300,15000 to 24999
542,542,3/8/2015,394,12186,10000 to 14999
543,543,3/8/2016,1122,11571,10000 to 14999
544,544,3/9/2014,548,17415,15000 to 24999
545,545,3/9/2015,1045,14699,10000 to 14999
546,546,3/9/2016,955,9102,7500 to 9999
547,547,4/1/2014,520,5423,4000 to 7499
548,548,4/1/2015,1379,17717,15000 to 24999
549,549,4/1/2016,967,11302,10000 to 14999
550,550,4/10/2014,1033,16212,15000 to 24999
551,551,4/10/2015,1246,23414,15000 to 24999
552,552,4/10/2016,197,5705,4000 to 7499
553,553,4/11/2014,1013,16796,15000 to 24999
554,554,4/11/2015,407,16876,15000 to 24999
555,555,4/11/2016,1146,11082,10000 to 14999
556,556,4/12/2014,463,13934,10000 to 14999
557,557,4/12/2015,303,8760,7500 to 9999
558,558,4/12/2016,1181,11066,10000 to 14999
559,559,4/13/2014,412,13856,10000 to 14999
560,560,4/13/2015,1337,14539,10000 to 14999
561,561,4/13/2016,1162,14169,10000 to 14999
562,562,4/14/2014,1046,13356,10000 to 14999
563,563,4/14/2015,1331,16479,15000 to 24999
564,564,4/14/2016,1106,14522,10000 to 14999
565,565,4/15/2014,1163,15394,15000 to 24999
